country,city,aqi,aqi_category,co_aqi,co_aqi_category,ozone_aqi,ozone_aqi_category,no2_aqi,no2_aqi_category,pm25_aqi,pm2.5_aqi_category
China,Boli,37,good,1,good,37,good,0,good,36,good
United States of America,Brockville,39,good,1,good,39,good,0,good,29,good
United States of America,Carlsbad,122,unhealthy for sensitive groups,1,good,29,good,0,good,122,unhealthy for sensitive groups
Italy,Casaluce,43,good,1,good,43,good,3,good,20,good
Brazil,Catole Do Rocha,32,good,0,good,13,good,1,good,32,good
France,Cergy,46,good,1,good,19,good,4,good,46,good
United States of America,Yazoo City,50,good,1,good,19,good,3,good,50,good
China,Yidu,117,unhealthy for sensitive groups,2,good,117,unhealthy for sensitive groups,3,good,86,moderate
India,Yol,137,unhealthy for sensitive groups,2,good,99,moderate,0,good,137,unhealthy for sensitive groups
Russian Federation,Zakamensk,66,moderate,1,good,30,good,0,good,66,moderate
